id,longitude,latitude
1,39.694667,-3.772
2,39.79029,-3.58268
3,39.845083,-3.590833
4,39.7993,-3.8192
5,39.8463,-3.643
6,39.826333,-3.792333
7,39.808083,-3.5914
8,39.818333,-3.690833
9,39.81439,-3.81475
10,39.84608,-3.64235
11,39.86164,-3.62681
12,39.90334,-3.51529
13,39.90451,-3.54881
14,39.7995,-3.764667
15,39.7995,-3.764667
16,39.716332,-3.702832
17,39.7235,-3.747167
18,39.85428,-3.70935
19,39.85908,-3.61557
20,39.83331,-3.61684
21,39.7625,-3.866833
22,39.91838,-3.38458
23,39.762333,-3.6805
24,39.786833,-3.785167
25,39.90339,-3.3704
26,39.93805,-3.45311
27,39.87236,-3.57242
28,39.85156,-3.5122
29,39.82864,-3.58656
30,39.87799,-3.53425
31,39.82327,-3.79085
32,39.8511,-3.5127
33,39.87363,-3.61504
34,39.74407,-3.70379
35,39.7365,-3.7038
36,39.758667,-3.843
37,39.845083,-3.590833
38,39.85565,-3.62419
39,39.79696,-3.73885
40,39.85315,-3.56156
41,39.67262,-3.75212
42,39.7025,-3.72215
43,39.70923,-3.76191
44,39.852167,-3.633667
45,39.80042,-3.72513
46,39.75665,-3.62658
47,39.692333,-3.6915
48,39.71497,-3.5683
49,39.85918,-3.53809
50,39.74007,-3.87557
51,39.92052,-3.47556
52,39.811967,-3.810367
53,39.85038,-3.62231
54,39.84626,-3.64603
55,39.85646,-3.68434
56,39.86456,-3.59593
57,39.854333,-3.684833
58,39.80325,-3.8665
59,39.808,-3.696667
60,39.716667,-3.749333
61,39.86981,-3.57069
62,39.85136,-3.62714
63,39.8545,-3.614667
64,39.93076,-3.39334
65,39.72917,-3.6753
66,39.712667,-3.742833
67,39.85495,-3.52023
68,39.8482,-3.71241
69,39.84579,-3.64428
70,39.771333,-3.812
71,39.812,-3.816167
72,39.83155,-3.70713
73,39.8462,-3.6032
74,39.798,-3.765833
75,39.82431,-3.60254
76,39.86201,-3.62632
77,39.75554,-3.89093
78,39.720333,-3.718167
79,39.724167,-3.738
80,39.80375,-3.60212
81,39.76433,-3.64466
82,39.8208,-3.7027
83,39.84959,-3.70447
84,39.86359,-3.61819
85,39.86042,-3.53821
86,39.7976,-3.8181
87,39.7446,-3.615767
88,39.83915,-3.7143
89,39.744,-3.56647
90,39.8492,-3.61702
91,39.8252,-3.55188
92,39.84491,-3.64702
93,39.84519,-3.54334
94,39.8559,-3.60139
95,39.8398,-3.64411
96,39.78524,-3.74075
97,39.86948,-3.50561
98,39.85789,-3.6259
99,39.807,-3.858333
100,39.780233,-3.678667
101,39.83388,-3.53198
102,39.8135,-3.7965
103,39.7875,-3.704
104,39.819333,-3.7955
105,39.85193,-3.62486
106,39.777667,-3.8835
107,39.86906,-3.52445
108,39.81249,-3.70959
109,39.8125,-3.693333
110,39.843,-3.60514
111,39.67647,-3.74424
112,39.84981,-3.62595
113,39.838333,-3.692
114,39.86685,-3.55528
115,39.86092,-3.55694
116,39.69343,-3.7404
117,39.85434,-3.62713
118,39.87075,-3.57168
119,39.846,-3.603
120,39.80187,-3.72393
121,39.79843,-3.81987
122,39.9269,-3.35478
123,39.84594,-3.59448
124,39.87975,-3.49281
125,39.9206,-3.36269
126,39.72991,-3.62101
127,39.85111,-3.51371
128,39.85889,-3.6283
129,39.8933,-3.4903
130,39.85918,-3.53809
131,39.7053,-3.73465
132,39.85461,-3.57533
133,39.849517,-3.5184
134,39.85281,-3.62256
135,39.8145,-3.737333
136,39.7015,-3.75679
137,39.6751,-3.75426